"id_study","country","year","fu","follow_up_of","with_refreshers","according_to_natmed","according_to_bmi_whtr_htn","notes"
"AFG_2011_MICS4","Afghanistan",2011,,,,,,
"AFG_2013_NNS","Afghanistan",2013,,,,,,
"AFG_2013_STEPSjalalabad","Afghanistan",2013,,,,,,
"AFG_2015_STEPSherat","Afghanistan",2015,,,,,,
"AFG_2015_STEPSkabul","Afghanistan",2015,,,,,,
"AFG_2015_STEPSkandahar","Afghanistan",2015,,,,,,
"AFG_2015_STEPSmazar","Afghanistan",2015,,,,,,
"AFG_2018_STEPS","Afghanistan",2018,"nonFU",,,,"nonFU",
"AGO_2014_BENGO","Angola",2014,"nonFU",,,,"nonFU",
"ALB_2001_8008008","Albania",2001,,,,,,
"ALB_2009_DHS","Albania",2009,,,,,,
"ALB_2013_COSI3","Albania",2013,,,,,,
"ALB_2014_BASIC","Albania",2014,,,,,,
"ALB_2016_COSI4","Albania",2016,,,,,,
"ALB_2018_DHS","Albania",2018,"nonFU",,,,"nonFU",
"ALB_2022_COSI6","Albania",2022,,,,,,
"ALB_2023_EUFITMOS","Albania",2023,,,,,,
"AND_2005_ENA","Andorra",2005,,,,,,
"ARE_1990_15784100","United Arab Emirates",1990,,,,,,
"ARE_2000_ENDCAD","United Arab Emirates",2000,,,,,,
"ARE_2001_15784034","United Arab Emirates",2001,,,,,,
"ARE_2005_GSHS","United Arab Emirates",2005,,,,,,
"ARE_2009_WHS","United Arab Emirates",2009,"nonFU",,,,"nonFU",
"ARE_2010_GSHS","United Arab Emirates",2010,,,,,,
"ARE_2016_GSHS","United Arab Emirates",2016,,,,,,
"ARE_2018_STEPS","United Arab Emirates",2018,"nonFU",,,,"nonFU",
"ARG_1983_13032015","Argentina",1983,,,,,,
"ARG_1985_INTERSALT","Argentina",1985,,,,,,
"ARG_1997_13032002","Argentina",1997,,,,,,
"ARG_2003_13032035","Argentina",2003,,,,,,
"ARG_2005_CARMELA","Argentina",2005,,,,,,
"ARG_2005_ENNyS","Argentina",2005,"nonFU",,,,"nonFU",
"ARG_2006_13032034","Argentina",2006,,,,,,
"ARG_2010_VELA","Argentina",2010,,,,,,
"ARG_2011_EANCABA","Argentina",2011,,,,,,
"ARG_2012_CESCAS","Argentina",2012,"nonFU",,,,"nonFU",
"ARG_2012_GSHS","Argentina",2012,,,,,,
"ARG_2013_EANRosario","Argentina",2013,"nonFU",,,,"nonFU",
"ARG_2015_ELANS","Argentina",2015,"nonFU",,,,"nonFU",
"ARG_2018_ENFR","Argentina",2018,"nonFU",,,,"nonFU",
"ARG_2019_ENNyS2","Argentina",2019,,,,,,
"ARM_1998_citBranca","Armenia",1998,,,,,,
"ARM_2000_DHS","Armenia",2000,,,,,,
"ARM_2005_DHS","Armenia",2005,,,,,,
"ARM_2016_DHS","Armenia",2016,,,,,,
"ARM_2016_STEPS","Armenia",2016,"nonFU",,,,"nonFU",
"ARM_2019_COSI5","Armenia",2019,,,,,,
"ASM_1977_citMcGARVEY","American Samoa",1977,,,,,,
"ASM_1990_citMcGARVEY","American Samoa",1990,,,,,,
"ASM_1992_citMcGARVEY","American Samoa",1992,,,,,,
"ASM_1994_citMcGARVEY","American Samoa",1994,"nonFU",,,,"nonFU",
"ASM_2004_STEPS","American Samoa",2004,"nonFU",,,,"nonFU",
"ATG_2009_GSHS","Antigua and Barbuda",2009,,,,,,
"AUS_1980_RFPS","Australia",1980,,,,,,
"AUS_1981_APCSC-Busselton","Australia",1981,,,,,,
"AUS_1983_MONICA-NEWa","Australia",1983,,,,,,
"AUS_1983_RFPS","Australia",1983,,,,,,
"AUS_1985_ASHFS","Australia",1985,,,,,,
"AUS_1989_DSAE","Australia",1989,,,,,,
"AUS_1989_MONICA-NEWa","Australia",1989,,,,,,
"AUS_1989_MONICA-NEWa-Y","Australia",1989,,,,,,
"AUS_1989_RFPS","Australia",1989,,,,,,
"AUS_1992_APCSC-ALSA","Australia",1992,,,,,,
"AUS_1994_MONICA-NEWa","Australia",1994,,,,,,
"AUS_1994_MONICA-PER2","Australia",1994,,,,,,
"AUS_1994_MONICA-PER3","Australia",1994,,,,,,
"AUS_1995_NNS","Australia",1995,,,,,,
"AUS_1996_Nepean","Australia",1996,,,,,,
"AUS_1997_APCSC-AAASP","Australia",1997,,,,,,
"AUS_1997_NSWSFPAS","Australia",1997,,,,,,
"AUS_1997_SASFPAS","Australia",1997,,,,,,
"AUS_2000_6036021","Australia",2000,,,,,,
"AUS_2000_AusDiab","Australia",2000,"nonFU",,"nonFU","nonFU","nonFU",
"AUS_2001_NWAHS","Australia",2001,"nonFU",,"nonFU","nonFU",,
"AUS_2004_LSAC-K","Australia",2004,,,,,,
"AUS_2004_Nepean","Australia",2004,,,,,,
"AUS_2004_SPANS","Australia",2004,,,,,,
"AUS_2005_6036045","Australia",2005,,,,,,
"AUS_2005_AusDiab","Australia",2005,"FU","AUS_2000_AusDiab","No","FU","FU",
"AUS_2005_NWAHS","Australia",2005,"FU","AUS_2001_NWAHS","No","FU",,
"AUS_2006_LSAC-K","Australia",2006,,,,,,
"AUS_2007_CAPI","Australia",2007,,,,,,
"AUS_2008_LSAC-B","Australia",2008,,,,,,
"AUS_2008_LSAC-K","Australia",2008,,,,,,
"AUS_2008_NHS","Australia",2008,,,,,,
"AUS_2009_NWAHS","Australia",2009,"FU","AUS_2005_NWAHS","No","FU",,
"AUS_2010_LSAC-B","Australia",2010,,,,,,
"AUS_2010_LSAC-K","Australia",2010,,,,,,
"AUS_2010_SPANS","Australia",2010,,,,,,
"AUS_2012_AHS","Australia",2012,,,,,,
"AUS_2012_AusDiab","Australia",2012,"FU","AUS_2005_AusDiab","No","FU","FU",
"AUS_2012_ISCOLE","Australia",2012,,,,,,
"AUS_2012_LSAC-B","Australia",2012,,,,,,
"AUS_2012_LSAC-K","Australia",2012,,,,,,
"AUS_2014_LSAC-B","Australia",2014,,,,,,
"AUS_2014_LSAC-K","Australia",2014,,,,,,
"AUS_2015_NHS","Australia",2015,,,,,,
"AUS_2015_SPANS","Australia",2015,,,,,,
"AUS_2016_LSAC-B","Australia",2016,,,,,,
"AUS_2016_LSAC-K","Australia",2016,,,,,,
"AUS_2018_LSAC-B","Australia",2018,,,,,,
"AUS_2018_LSAC-K","Australia",2018,,,,,,
"AUS_2018_NHS","Australia",2018,,,,,,
"AUT_1983_CON","Austria",1983,,,,,,
"AUT_1984_CON","Austria",1984,,,,,,
"AUT_1985_CON","Austria",1985,,,,,,
"AUT_1986_10040051","Austria",1986,,,,,,
"AUT_1986_CON","Austria",1986,,,,,,
"AUT_1987_CON","Austria",1987,,,,,,
"AUT_1988_CON","Austria",1988,,,,,,
"AUT_1989_CON","Austria",1989,,,,,,
"AUT_1990_CON","Austria",1990,,,,,,
"AUT_1991_CINDI","Austria",1991,,,,,,
"AUT_1991_CON","Austria",1991,,,,,,
"AUT_1992_CON","Austria",1992,,,,,,
"AUT_1992_VHMPP","Austria",1992,,,,,,
"AUT_1993_CON","Austria",1993,,,,,,
"AUT_1994_CON","Austria",1994,,,,,,
"AUT_1995_CON","Austria",1995,,,,,,
"AUT_1996_CON","Austria",1996,,,,,,
"AUT_1997_CON","Austria",1997,,,,,,
"AUT_1998_CON","Austria",1998,,,,,,
"AUT_1998_VHMPP","Austria",1998,,,,,,
"AUT_1999_CINDI","Austria",1999,,,,,,
"AUT_1999_CON","Austria",1999,,,,,,
"AUT_2000_CON","Austria",2000,,,,,,
"AUT_2001_CON","Austria",2001,,,,,,
"AUT_2002_CON","Austria",2002,,,,,,
"AUT_2003_CON","Austria",2003,,,,,,
"AUT_2004_CON","Austria",2004,,,,,,
"AUT_2004_VHMPP","Austria",2004,,,,,,
"AUT_2005_CON","Austria",2005,,,,,,
"AUT_2005_VHMPP","Austria",2005,,,,,,
"AUT_2006_CON","Austria",2006,,,,,,
"AUT_2007_CON","Austria",2007,,,,,,
"AUT_2007_HELENA","Austria",2007,,,,,,
"AUT_2008_CON","Austria",2008,,,,,,
"AUT_2009_CON","Austria",2009,,,,,,
"AUT_2009_VHMPP","Austria",2009,,,,,,
"AUT_2010_CON","Austria",2010,,,,,,
"AUT_2010_citMayer","Austria",2010,,,,,,
"AUT_2011_ASNS","Austria",2011,"nonFU",,"nonFU","nonFU","nonFU",
"AUT_2011_CON","Austria",2011,,,,,,
"AUT_2012_CON","Austria",2012,,,,,,
"AUT_2012_UA","Austria",2012,,,,,,
"AUT_2013_CON","Austria",2013,,,,,,
"AUT_2013_VHMPP","Austria",2013,,,,,,
"AUT_2014_CON","Austria",2014,,,,,,
"AUT_2014_MPpreschool","Austria",2014,,,,,,
"AUT_2015_ASN","Austria",2015,"nonFU",,,,"nonFU",
"AUT_2015_CON","Austria",2015,,,,,,
"AUT_2015_RFMP","Austria",2015,,,,,,
"AUT_2016_CON","Austria",2016,,,,,,
"AUT_2016_COSI4","Austria",2016,,,,,,
"AUT_2016_EVA","Austria",2016,,,,,,
"AUT_2016_VHMPP","Austria",2016,,,,,,
"AUT_2017_CON","Austria",2017,,,,,,
"AUT_2018_CON","Austria",2018,,,,,,
"AUT_2019_AUTFIT","Austria",2019,,,,,,
"AUT_2019_CON","Austria",2019,,,,,,
"AUT_2019_COSI5","Austria",2019,,,,,,
"AUT_2020_AUTFITJune","Austria",2020,,,,,,
"AUT_2020_AUTFITsept","Austria",2020,,,,,,
"AUT_2020_CON","Austria",2020,,,,,,
"AUT_2021_AUTFIT","Austria",2021,,,,,,
"AUT_2021_CON","Austria",2021,,,,,,
"AUT_2022_COSI6","Austria",2022,,,,,,
"AUT_2022_EVA4YOU","Austria",2022,,,,,,
"AZE_1996_HNS","Azerbaijan",1996,,,,,,
"AZE_2001_RHS","Azerbaijan",2001,,,,,,
"AZE_2006_DHS","Azerbaijan",2006,,,,,,
"AZE_2013_AzNS","Azerbaijan",2013,,,,,,
"AZE_2017_STEPS","Azerbaijan",2017,"nonFU",,,,"nonFU",
"AZE_2022_COSI6","Azerbaijan",2022,,,,,,
"BDI_2010_DHS","Burundi",2010,,,,,,
"BDI_2017_DHS","Burundi",2017,,,,,,
"BEL_1984_MONICA-LUXa","Belgium",1984,,,,,,
"BEL_1985_BIRNH","Belgium",1985,,,,,,
"BEL_1986_INTERSALT-Charleroi","Belgium",1986,,,,,,
"BEL_1986_INTERSALT-Ghent","Belgium",1986,,,,,,
"BEL_1986_MONICA-CHAa","Belgium",1986,,,,,,
"BEL_1986_MONICA-GHEa","Belgium",1986,,,,,,
"BEL_1988_FLEMENGHO","Belgium",1988,,,,,,
"BEL_1989_MONICA-CHAa","Belgium",1989,,,,,,
"BEL_1989_MONICA-GHEa","Belgium",1989,,,,,,
"BEL_1991_MONICA-CHAa","Belgium",1991,,,,,,
"BEL_1991_MONICA-GHEa","Belgium",1991,,,,,,
"BEL_1992_FLEMENGHO","Belgium",1992,"nonFU",,,,"nonFU",
"BEL_1993_FLEMENGHO","Belgium",1993,,,,,,
"BEL_1995_BIRNH-E","Belgium",1995,,,,,,
"BEL_1997_FLEMENGHO","Belgium",1997,,,,,,
"BEL_1998_FLEMENGHO","Belgium",1998,,,,,,
"BEL_1999_FLEMENGHO","Belgium",1999,,,,,,
"BEL_2000_FLEMENGHO","Belgium",2000,,,,,,
"BEL_2001_FLEMENGHO","Belgium",2001,,,,,,
"BEL_2002_FLEMENGHO","Belgium",2002,,,,,,
"BEL_2003_10056123","Belgium",2003,,,,,,
"BEL_2003_EMAS","Belgium",2003,"nonFU",,,,"nonFU",
"BEL_2004_FLEMENGHO","Belgium",2004,,,,,,
"BEL_2007_FLEMENGHO","Belgium",2007,"FU","No","No",,"FU",
"BEL_2007_FLEMENGHO2","Belgium",2007,,,,,,
"BEL_2007_HELENA","Belgium",2007,,,,,,
"BEL_2008_COSI1","Belgium",2008,,,,,,
"BEL_2008_EMAS","Belgium",2008,"FU","No","No",,"FU",
"BEL_2009_IDEFICS","Belgium",2009,,,,,,
"BEL_2010_COSI2","Belgium",2010,,,,,,
"BEL_2010_ENERGY","Belgium",2010,,,,,,
"BEL_2011_FLEMENGHO","Belgium",2011,"FU","No","No",,"FU",
"BEL_2013_COSI3","Belgium",2013,,,,,,
"BEL_2013_FLEMENGHO","Belgium",2013,"FU","No","No",,"FU",
"BEL_2015_FCS","Belgium",2015,"nonFU",,,,"nonFU",
"BEL_2018_EHES","Belgium",2018,"nonFU",,"nonFU","nonFU","nonFU",
"BEL_2021_OUTSIDEIN","Belgium",2021,,,,,,
"BEL_2022_OUTSIDEINfall","Belgium",2022,,,,,,
"BEL_2022_OUTSIDEINspring","Belgium",2022,,,,,,
"BEN_1996_DHS","Benin",1996,,,,,,
"BEN_2001_DHS","Benin",2001,,,,,,
"BEN_2006_DHS","Benin",2006,,,,,,
"BEN_2007_STEPS","Benin",2007,"nonFU",,,,"nonFU",
"BEN_2008_AGVSAN","Benin",2008,,,,,,
"BEN_2008_STEPS","Benin",2008,"nonFU",,,,"nonFU",
"BEN_2012_DHS","Benin",2012,,,,,,
"BEN_2015_STEPS","Benin",2015,"nonFU",,,,"nonFU",
"BEN_2018_DHS","Benin",2018,,,,,,
"BFA_1993_DHS","Burkina Faso",1993,,,,,,
"BFA_1999_DHS","Burkina Faso",1999,,,,,,
"BFA_2002_VASN","Burkina Faso",2002,,,,,,
"BFA_2003_DHS","Burkina Faso",2003,,,,,,
"BFA_2004_21854030","Burkina Faso",2004,,,,,,
"BFA_2010_DHS","Burkina Faso",2010,,,,,,
"BFA_2013_STEPS","Burkina Faso",2013,"nonFU",,,,"nonFU",
"BFA_2017_ARISENo","Burkina Faso",2017,,,,,,
"BFA_2021_DHS","Burkina Faso",2021,,,,,,
"BFA_2021_STEPS","Burkina Faso",2021,"nonFU",,,,"nonFU",
"BGD_1992_4050013","Bangladesh",1992,,,,,,
"BGD_1997_DHS","Bangladesh",1997,,,,,,
"BGD_1998_4050035","Bangladesh",1998,,,,,,
"BGD_2000_4050061","Bangladesh",2000,,,,,,
"BGD_2000_DHS","Bangladesh",2000,,,,,,
